SCHOOL,ENG,ENG-G,ENG-GL,MAT,MAT-G,MAT-GL,SCI,,,TPE,LET,MIN,ECO
FLAGAMI ELEMENTARY SCHOOL,77,72,65,84,78,73,84,,,533,A,99.4,85.9
HENRY M. FLAGLER ELEMENTARY SCHOOL,59,64,41,52,59,63,51,,,389,B,98.7,90.2
FLAMINGO ELEMENTARY SCHOOL,59,66,53,62,72,61,45,,,418,B,99.1,88.3
FLORIDA CITY ELEMENTARY SCHOOL,40,73,88,43,72,73,28,,,417,B,98.8,92.8
ACADEMIR PREPARATORY ACADEMY,67,66,58,52,52,51,57,,,403,B,99.8,84.6
BRIDGEPREP ACADEMY SOUTH,60,54,38,59,65,65,65,,,564,A,96.6,76.8
INTEGRATED SCIENCE AND ASIAN CULTURE (ISAAC) ACADEMY,84,76,71,79,68,68,67,,,513,A,94,51.1
SOMERSET ACADEMY ELEMENTARY SCHOOL SOUTH MIAMI CAMPUS,90,68,71,98,94,95,88,,,604,A,93,20.8
SOMERSET ARTS ACADEMY,62,72,77,60,78,65,40,,,454,A,88.4,75.7
BRIDGEPREP ACADEMY OF GREATER MIAMI,52,50,40,46,49,52,35,,,324,C,93.5,84.8
GLORIA FLOYD ELEMENTARY SCHOOL,70,87,68,76,87,89,60,,,537,A,95.7,92.4
PINECREST GLADES ACADEMY,83,85,70,86,93,89,74,,,580,A,97.4,56.5
BENJAMIN FRANKLIN K-8 CENTER,40,57,46,41,79,78,43,,,549,B,99.2,89.2
THEODORE R. AND THELMA A. GIBSON CHARTER SCHOOL,31,67,91,28,59,82,0,,,358,C,97.8,93.3
FULFORD ELEMENTARY SCHOOL,35,54,49,37,51,53,27,,,306,C,98.6,88.8
HIALEAH GARDENS ELEMENTARY SCHOOL,73,74,57,74,73,61,50,,,462,A,97.8,85
JACK DAVID GORDON ELEMENTARY SCHOOL,78,75,58,79,66,63,48,,,467,A,95.7,75.5
GOLDEN GLADES ELEMENTARY SCHOOL,35,56,67,42,62,60,30,,,352,C,100,96.2
JOELLA GOOD ELEMENTARY SCHOOL,69,79,62,70,85,71,61,,,497,A,97.7,82.5
SPANISH LAKE ELEMENTARY SCHOOL,61,70,54,66,77,71,56,,,455,A,97.3,79.5
GRATIGNY ELEMENTARY SCHOOL,41,68,63,55,74,78,37,,,416,B,97,86.6
GREENGLADE ELEMENTARY SCHOOL,71,78,50,69,73,55,57,,,453,A,97.5,81.1
GREYNOLDS PARK ELEMENTARY SCHOOL,45,56,54,42,39,29,27,,,292,C,94.8,90.4
GULFSTREAM ELEMENTARY SCHOOL,56,65,63,66,71,70,53,,,444,A,94,86.1
CHARLES R HADLEY ELEMENTARY SCHOOL,58,67,57,59,68,67,60,,,436,A,97.9,74.3
KIPP MIAMI-LIBERTY CITY,16,30,36,22,45,48,11,,,243,F,99.6,97.7
JOE HALL ELEMENTARY SCHOOL,68,72,50,74,80,65,54,,,463,A,98.9,75
ENEIDA M. HARTNER ELEMENTARY SCHOOL,36,51,35,56,65,43,35,,,321,C,98.9,91.2
HIALEAH ELEMENTARY SCHOOL,59,68,49,59,80,73,37,,,425,B,99.2,88
WEST HIALEAH GARDENS ELEMENTARY SCHOOL,63,71,62,67,71,62,54,,,450,A,99,88.1
HIBISCUS ELEMENTARY SCHOOL,49,62,50,51,75,67,46,,,400,B,98.8,92
VIRGINIA A BOONE-HIGHLAND OAKS SCHOOL,69,66,58,64,69,65,61,,,452,A,74.3,53.9
HOLMES ELEMENTARY SCHOOL,25,56,79,41,62,58,21,,,342,C,99.7,96.3
ZORA NEALE HURSTON ELEMENTARY SCHOOL,67,66,64,81,80,77,69,,,504,A,97.4,80.3
OLIVER HOOVER ELEMENTARY SCHOOL,69,75,59,76,89,81,69,,,518,A,96,75.1
HOWARD DRIVE ELEMENTARY SCHOOL,79,70,48,71,65,41,58,,,432,A,77.9,39.8
MADIE IVES K-8 PREPARATORY ACADEMY,51,59,56,47,65,56,30,,,520,B,97.3,86
KENDALE ELEMENTARY SCHOOL,84,82,59,74,69,53,72,,,493,A,94,63.9
KENDALE LAKES ELEMENTARY SCHOOL,70,75,54,78,81,80,65,,,503,A,97.5,77.5
KENSINGTON PARK ELEMENTARY SCHOOL,46,61,45,48,65,66,28,,,359,C,98.8,80.9
KENWOOD K-8 CENTER,65,58,51,60,65,58,47,,,566,A,92.5,59.9
KEY BISCAYNE K-8 CENTER,83,71,66,84,73,52,69,,,674,A,79.3,10.9
KINLOCH PARK ELEMENTARY SCHOOL,65,64,55,56,60,55,49,,,404,B,98.8,81.8
LAKE STEVENS ELEMENTARY SCHOOL,54,85,78,69,89,85,54,,,514,A,98.8,90.3
LAKEVIEW ELEMENTARY SCHOOL,35,54,52,39,61,63,30,,,334,C,99,97.7
LEEWOOD K-8 CENTER,76,67,54,72,70,55,61,,,633,A,84.9,36.3
WILLIAM H. LEHMAN ELEMENTARY SCHOOL,76,79,66,81,90,87,69,,,548,A,90.6,61.6
LEISURE CITY K-8 CENTER,40,61,55,39,68,69,30,,,491,B,98.8,95.8
LINDA LENTIN K-8 CENTER,46,61,48,45,68,65,36,,,530,B,99.4,91.3
LAURA C. SAUNDERS ELEMENTARY SCHOOL,34,53,62,40,59,65,26,,,339,C,99.1,100
LIBERTY CITY ELEMENTARY SCHOOL,36,50,60,23,47,76,26,,,318,C,100,96.5
MATER INTERNATIONAL ACADEMY,45,68,63,33,50,69,29,,,357,C,99.5,98
WEST LAKES PREPARATORY ACADEMY,66,68,60,66,79,63,45,,,619,A,95.7,59.6
DOWNTOWN DORAL CHARTER ELEMENTARY SCHOOL,77,71,54,73,67,52,72,,,466,A,95.1,33.9
MATER PREPARATORY ACADEMY,36,58,64,31,48,62,19,,,318,C,98.9,95.2
"JESSE J. MCCRARY, JR. ELEMENTARY SCHOOL",31,46,57,34,55,59,20,,,302,C,99.5,97.3
DORAL INTERNATIONAL ACADEMY OF MATH AND SCIENCE,61,61,52,58,58,50,43,,,493,B,96.3,35.1
DORAL ACADEMY OF TECHNOLOGY,99,73,91,100,85,92,100,,,832,A,96.3,39.3
DORAL ACADEMY,90,85,75,91,85,88,88,,,602,A,96.8,46.9
KENDALL SQUARE K-8 CENTER,85,76,86,82,77,79,76,,,561,A,96.7,59.7
PALM GLADES PREPARATORY ACADEMY,34,50,46,41,62,67,27,,,427,C,98.4,81.9
SOMERSET OAKS ACADEMY,44,60,61,44,71,67,32,,,509,B,95.5,85
BRIDGEPREP ACADEMY OF VILLAGE GREEN,54,52,49,44,51,58,37,,,440,C,96.3,63.4
LORAH PARK ELEMENTARY SCHOOL,42,76,53,35,63,60,34,,,363,C,99.2,94.4
TOUSSAINT L'OUVERTURE ELEMENTARY,39,72,74,57,78,82,24,,,426,B,98.3,87.5
LUDLAM ELEMENTARY SCHOOL,67,75,60,72,71,80,72,,,497,A,93.5,69.6
MATER ACADEMY EAST CHARTER SCHOOL,73,84,81,78,92,96,66,,,570,A,97.6,89.5
FRANK CRAWFORD MARTIN K-8 CENTER,62,59,52,59,71,68,58,,,600,A,97.3,75.6
WESLEY MATTHEWS ELEMENTARY SCHOOL,70,69,52,69,71,68,57,,,456,A,99.6,85.2
MEADOWLANE ELEMENTARY SCHOOL,65,72,64,80,87,82,70,,,520,A,98.9,91.1
MELROSE ELEMENTARY SCHOOL,42,56,59,67,75,76,46,,,421,B,99.4,91.2
ADA MERRITT K-8 CENTER,88,74,66,89,79,72,83,,,738,A,76.2,37.3
MIAMI GARDENS ELEMENTARY SCHOOL,54,54,44,62,74,59,55,,,402,B,97.7,93.5
MIAMI HEIGHTS ELEMENTARY SCHOOL,47,66,50,54,78,86,51,,,432,A,98.7,87.2
MIAMI LAKES K-8 CENTER,69,72,57,66,67,63,60,,,622,A,96.6,61.8
MIAMI SHORES ELEMENTARY SCHOOL,61,68,58,54,62,63,39,,,405,B,90.7,76.8
MIAMI SPRINGS ELEMENTARY SCHOOL,59,68,59,62,73,75,57,,,453,A,95.6,82.3
MARCUS A. MILAM K-8 CENTER,50,66,61,50,66,59,45,,,533,B,99.2,88.7
PHYLLIS R. MILLER ELEMENTARY SCHOOL,55,64,49,64,78,72,46,,,428,B,94,85
MORNINGSIDE K-8 ACADEMY,58,57,60,55,70,64,59,,,623,A,96.3,86.7
ROBERT RUSSA MOTON ELEMENTARY SCHOOL,23,42,50,29,85,67,30,,,326,C,99.5,99
MYRTLE GROVE K-8 CENTER,31,63,73,23,31,41,17,,,373,C,99.4,97.2
DOWNTOWN MIAMI CHARTER SCHOOL,54,70,73,61,77,69,37,,,441,A,94.8,85.9
KEYS GATE CHARTER SCHOOL,42,46,45,45,59,53,33,,,447,C,95.3,83.5
COCONUT PALM K-8 ACADEMY,38,53,49,41,66,64,41,,,504,B,97.8,90
NATURAL BRIDGE ELEMENTARY SCHOOL,56,58,50,63,72,76,62,,,437,A,99.3,90.8
NORLAND ELEMENTARY SCHOOL,41,54,38,43,60,51,26,,,313,C,99.3,91.2
NORTH BEACH ELEMENTARY SCHOOL,82,78,54,79,73,54,79,,,499,A,53.3,28.2
BARBARA HAWKINS ELEMENTARY SCHOOL,34,58,58,37,57,58,25,,,327,C,97.6,92
NORTH COUNTY K-8 CENTER,38,54,51,31,70,65,26,,,479,C,98.6,97.5
NORTH GLADE ELEMENTARY SCHOOL,43,48,30,44,69,55,29,,,318,C,97.6,91.7
NORTH HIALEAH ELEMENTARY SCHOOL,61,65,44,64,63,68,48,,,413,B,99,83.4
NORTH MIAMI ELEMENTARY SCHOOL,44,69,58,48,65,58,38,,,380,B,97.4,90.7
NORTH TWIN LAKES ELEMENTARY SCHOOL,59,77,68,58,62,57,36,,,417,B,99.8,91.1
MIAMI CHILDREN'S MUSEUM CHARTER SCHOOL,81,74,52,77,75,71,63,,,493,A,80.7,40.1
NORWOOD ELEMENTARY SCHOOL,60,65,55,65,68,50,49,,,412,B,99.5,90.1
BEACON COLLEGE PREPARATORY ELEMENTARY SCHOOL,35,61,74,46,72,48,22,,,358,C,100,93.8
MATER ACADEMY BAY ELEMENTARY,77,72,58,82,85,78,80,,,532,A,93.9,60
DR. TONI BILBAO PREPARATORY ACADEMY,67,77,78,67,69,64,42,,,464,A,97,43.6
SOMERSET ACADEMY SILVER PALMS AT PRINCETON,64,68,56,70,62,52,43,,,415,B,95.3,88.1
OAK GROVE ELEMENTARY SCHOOL,43,55,50,38,59,68,40,,,353,C,99.4,89.1
GATEWAY ENVIRONMENTAL K-8 LEARNING CENTER,37,53,51,35,58,61,30,,,453,C,97.1,87.3
SOMERSET ACADEMY KENDALL,75,67,,87,89,,,,,318,A,92.9,35.1
BRIDGEPREP ACADEMY OF NORTH MIAMI BEACH,66,65,63,57,67,61,66,,,594,A,85.9,67.3
OJUS ELEMENTARY SCHOOL,66,67,62,65,72,67,48,,,447,A,89.6,84.1
AGENORIA S PASCHAL/OLINDA ELEMENTARY SCHOOL,44,55,61,39,61,55,30,,,345,C,99.4,94.6
OLYMPIA HEIGHTS ELEMENTARY SCHOOL,69,76,58,71,72,57,60,,,463,A,99.4,88.9
DR. ROBERT B. INGRAM ELEMENTARY SCHOOL,37,63,74,36,76,91,42,,,419,B,100,93.7
ORCHARD VILLA ELEMENTARY SCHOOL,37,66,69,43,61,71,34,,,381,B,100,91.1
PALMETTO ELEMENTARY SCHOOL,89,77,59,91,82,86,84,,,568,A,63.7,20
PALM LAKES ELEMENTARY SCHOOL,60,73,68,52,77,68,61,,,459,A,99,76.4
ACADEMIR CHARTER SCHOOL OF MATH AND SCIENCE,43,57,47,64,79,69,50,,,409,B,97,87.8
PALM SPRINGS ELEMENTARY SCHOOL,60,70,67,58,81,62,61,,,459,A,98.3,84.6
PALM SPRINGS NORTH ELEMENTARY SCHOOL,66,67,57,72,76,72,56,,,466,A,98.2,72.6
PARKVIEW ELEMENTARY SCHOOL,29,59,62,30,58,46,17,,,301,C,99,91.5
PARKWAY ELEMENTARY SCHOOL,38,58,67,44,70,67,25,,,369,C,99.1,91.9
DR. HENRY E. PERRINE ACADEMY OF THE ARTS,65,68,57,65,77,70,59,,,461,A,91.2,74.3
IRVING & BEATRICE PESKOE K-8 CENTER,43,62,58,46,73,71,42,,,565,A,97,93.5
KELSEY L. PHARR ELEMENTARY SCHOOL,36,48,52,54,72,83,45,,,390,B,99.3,96.4
PINECREST ELEMENTARY SCHOOL,90,80,71,90,74,66,87,,,558,A,70.5,16.7
PINE LAKE ELEMENTARY SCHOOL,52,63,56,39,65,71,55,,,401,B,96.6,87.6
PINE VILLA ELEMENTARY SCHOOL,28,61,67,51,58,67,24,,,356,C,100,96.5
HENRY E.S. REEVES K-8 CENTER,36,54,52,36,67,75,24,,,484,B,99.5,91.5
POINCIANA PARK ELEMENTARY SCHOOL,51,63,83,61,87,92,50,,,487,A,98.3,97.2
DR. GILBERT L. PORTER ELEMENTARY SCHOOL,55,65,57,60,66,61,53,,,417,B,95.7,67.4
RAINBOW PARK ELEMENTARY SCHOOL,41,56,38,50,58,38,34,,,315,C,99.5,95
REDLAND ELEMENTARY SCHOOL,49,61,55,51,63,51,33,,,363,C,97.7,85.3
REDONDO ELEMENTARY SCHOOL,47,91,,55,96,,,,,289,A,98.6,95.8
RIVERSIDE ELEMENTARY SCHOOL,29,54,51,36,58,51,17,,,296,C,99.4,83
JANE S. ROBERTS K-8 CENTER,74,66,60,68,71,68,54,,,610,A,94.6,64.9
ROCKWAY ELEMENTARY SCHOOL,68,71,48,70,71,66,51,,,445,A,99,80.1
ROYAL GREEN ELEMENTARY SCHOOL,69,69,63,60,53,45,39,,,398,B,99.2,86.9
ROYAL PALM ELEMENTARY SCHOOL,73,81,65,71,70,58,80,,,498,A,98.5,87.6
GERTRUDE K. EDELMAN/SABAL PALM,53,71,70,48,81,77,42,,,442,A,98.9,89.2
SANTA CLARA ELEMENTARY SCHOOL,38,70,50,39,70,64,28,,,359,C,99.5,91.7
SCOTT LAKE ELEMENTARY SCHOOL,58,50,42,53,52,50,52,,,357,C,98.9,91.8
SEMINOLE ELEMENTARY SCHOOL,70,74,53,77,82,65,79,,,500,A,100,82.1
SHADOWLAWN ELEMENTARY SCHOOL,52,74,85,61,65,69,55,,,461,A,100,93.5
SHENANDOAH ELEMENTARY SCHOOL,52,68,61,60,64,59,58,,,422,B,98.7,90.6
SOMERSET PREPARATORY ACADEMY SUNSET,79,69,59,92,78,91,47,,,515,A,94.8,36.8
SOUTH DADE MIDDLE SCHOOL,40,49,45,43,57,54,33,,,438,C,96.9,93.8
PINECREST NORTH PREPARATORY (FONTAINEBLEAU CAMPUS),76,65,51,76,75,63,71,,,620,A,98.8,75.8
DAVID LAWRENCE JR. K-8 CENTER,56,61,47,53,66,61,45,,,552,B,93.3,78.6
EVERGLADES PREPARATORY ACADEMY,39,49,45,46,64,68,35,,,446,C,95.7,82.4
LINCOLN-MARTI CHARTER SCHOOL HIALEAH CAMPUS,52,64,45,71,83,68,55,79,55,720,A,98.3,94.7
SOMERSET GABLES ACADEMY,83,65,58,77,81,69,66,,,656,A,86.7,29.4
SOMERSET PALMS ACADEMY,84,70,63,65,63,52,51,,,615,A,97.5,55.5
BRIDGEPREP ACADEMY INTERAMERICAN CAMPUS,78,43,62,71,44,62,55,,,415,B,98.3,88
BEN SHEPPARD ELEMENTARY SCHOOL,66,73,65,66,67,58,52,,,447,A,99.4,91.5
BEN GAMLA CHARTER SCHOOL,82,76,72,83,77,88,74,,,744,A,84.2,59.6
LINCOLN-MARTI CHARTER SCHOOL LITTLE HAVANA CAMPUS,70,73,69,91,93,94,67,,,742,A,81.4,94.3
BRIDGEPREP ACADEMY OF MIAMI DADE,67,68,62,75,77,77,55,,,481,A,97.5,54.4
EXCELSIOR PREP CHARTER SCHOOL OF HIALEAH,27,41,32,24,62,75,20,,,388,C,100,90.9
EXCELSIOR PREP CHARTER SCHOOL OF MIAMI,22,48,57,21,46,61,16,,,407,C,99.1,91.6
SILVER BLUFF ELEMENTARY SCHOOL,46,55,36,31,59,56,23,,,306,C,94.4,79.1
LINCOLN-MARTI SCHOOLS INTERNATIONAL CAMPUS,68,71,76,79,79,69,79,,,709,A,96.2,94.4
ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL,71,78,68,73,76,69,63,,,498,A,96,97.4
MATER GROVE ACADEMY,66,63,55,63,69,56,47,,,560,A,96.1,67.1
MATER ACADEMY MIAMI BEACH,69,68,55,70,78,69,48,,,584,A,84.8,77.1
PINECREST ACADEMY (NORTH CAMPUS),89,,,88,,,,,,177,A,98.8,63
PINECREST COVE ACADEMY,81,71,58,73,66,58,64,,,641,A,98.3,62
ERNEST R. GRAHAM K-8 ACADEMY,59,68,62,64,85,81,54,,,648,A,99.5,83.5
MATER ACADEMY AT MOUNT SINAI,88,72,,86,66,,71,,,383,A,80.8,61.6
DR. CARLOS J. FINLAY ELEMENTARY,73,75,61,75,72,70,60,,,486,A,97.4,78.7
SOMERSET ACADEMY BAY,83,78,78,79,68,44,61,,,491,A,95.3,17.1
DR. FREDERICA S. WILSON/SKYWAY ELEMENTARY SCHOOL,65,81,77,73,80,62,46,,,484,A,99,95
MIAMI BEACH SOUTH POINTE ELEMENTARY SCHOOL,66,57,45,69,57,60,56,,,410,B,64.1,57.6
JOHN I. SMITH K-8 CENTER,63,67,53,60,67,62,54,,,589,A,95.1,50.1
SNAPPER CREEK ELEMENTARY SCHOOL,67,73,67,74,84,86,67,,,518,A,93.6,75.5
N DADE CENTER FOR MODERN LANGUAGE,85,78,71,80,70,61,60,,,505,A,97.9,77.9
HUBERT O. SIBLEY K-8 ACADEMY,40,57,56,32,59,60,40,,,483,B,99.1,94.8
SOUTH HIALEAH ELEMENTARY SCHOOL,54,66,55,64,78,60,54,,,431,A,99.1,92.6
SOUTH MIAMI K-8 CENTER,72,66,49,65,74,68,58,,,593,A,93,65.5
SOUTH MIAMI HEIGHTS ELEMENTARY,60,71,65,64,73,59,45,,,437,A,95.3,87.7
SOUTHSIDE PREPARATORY ACADEMY,66,65,52,61,59,54,54,,,528,B,85.4,57.9
SPRINGVIEW ELEMENTARY SCHOOL,85,73,48,88,84,81,77,,,536,A,93.3,55.9
E.W.F. STIRRUP ELEMENTARY SCHOOL,71,72,66,73,73,69,55,,,479,A,99.5,76.4
IMATER ACADEMY,58,60,53,57,53,35,54,,,370,C,99.1,95.4
SUNSET ELEMENTARY SCHOOL,94,86,85,90,86,86,92,,,619,A,75.8,15.6
